PO_Number,Supplier,Category,Country,PO_Date,Promised_Delivery,Actual_Delivery,Quantity,Unit_Cost,Total_Cost
PO-0001,Smith-Carey,Apparel,Vietnam,2024-10-16,2024-11-14,2024-11-04,152,369.55,56171.6
PO-0002,Henry-Lee,Raw Materials,China,2024-11-23,2025-02-15,2025-02-07,40,51.38,2055.2
PO-0003,Cline-Dixon,Packaging,Vietnam,2023-08-27,2023-11-14,2023-11-23,743,326.69,242730.67
PO-0004,Hawkins Inc,Packaging,Mexico,2024-07-12,2024-09-18,2024-09-15,838,435.3,364781.4
PO-0005,Smith-Carey,Apparel,Vietnam,2023-06-13,2023-08-21,2023-08-21,990,382.93,379100.7
PO-0006,Palmer-Flores,Food & Beverage,Mexico,2023-04-15,2023-05-11,2023-05-13,628,135.94,85370.32
PO-0007,Palmer-Flores,Raw Materials,China,2023-02-14,2023-04-28,2023-05-05,575,150.12,86319.0
PO-0008,Maynard-Mitchell,Electronics,China,2024-10-05,2024-12-05,2024-12-13,687,117.81,80935.47
PO-0009,"Evans, Johnson and Blevins",Electronics,India,2023-10-24,2023-11-18,2023-12-05,294,229.44,67455.36
PO-0010,Bean-Smith,Apparel,Brazil,2024-01-09,2024-02-13,2024-02-14,283,352.4,99729.2
PO-0011,Solis Inc,Packaging,Brazil,2024-11-30,2024-12-24,2025-01-02,260,85.88,22328.8
PO-0012,Gaines-Olsen,Apparel,Brazil,2024-01-24,2024-03-13,2024-04-01,342,422.21,144395.82
PO-0013,"Long, Singh and Guzman",Food & Beverage,India,2023-02-27,2023-04-12,2023-04-28,284,37.76,10723.84
PO-0014,Rose Ltd,Raw Materials,Brazil,2024-08-03,2024-09-27,2024-09-23,479,75.72,36269.88
PO-0015,Gaines-Olsen,Packaging,Mexico,2023-05-23,2023-07-08,2023-07-21,774,294.37,227842.38
PO-0016,"Evans, Johnson and Blevins",Apparel,Germany,2024-08-20,2024-10-25,2024-10-26,515,50.0,25750.0
PO-0017,Solis Inc,Raw Materials,Germany,2023-02-18,2023-03-19,2023-03-13,75,195.46,14659.5
PO-0018,Smith-Carey,Packaging,China,2024-09-02,2024-11-15,2024-11-21,706,361.76,255402.56
PO-0019,Smith-Carey,Food & Beverage,China,2024-11-29,2025-02-20,2025-03-06,310,220.21,68265.1
PO-0020,Smith-Carey,Packaging,Vietnam,2024-04-09,2024-04-24,2024-05-14,529,456.75,241620.75
PO-0021,Koch Group,Packaging,Vietnam,2024-10-02,2024-11-24,2024-12-10,166,190.09,31554.94
PO-0022,Koch Group,Electronics,Germany,2023-06-15,2023-09-07,2023-09-27,341,246.86,84179.26
PO-0023,Elliott and Sons,Apparel,China,2023-04-25,2023-06-25,2023-07-13,256,439.61,112540.16
PO-0024,Rose Ltd,Electronics,Germany,2023-03-22,2023-04-16,2023-04-29,794,67.25,53396.5
PO-0025,Gaines-Olsen,Apparel,Mexico,2024-11-06,2025-01-20,2025-02-09,550,436.85,240267.5
PO-0026,Gaines-Olsen,Apparel,Brazil,2024-03-09,2024-04-20,2024-05-09,329,202.5,66622.5
PO-0027,Koch Group,Raw Materials,China,2024-11-18,2025-01-19,2025-01-23,263,116.23,30568.49
PO-0028,Gaines-Olsen,Apparel,Germany,2023-12-13,2023-12-30,2024-01-07,235,8.56,2011.6
PO-0029,Smith-Wood,Electronics,Mexico,2024-12-25,2025-01-16,2025-01-13,82,259.51,21279.82
PO-0030,Gaines-Olsen,Apparel,Brazil,2023-10-13,2023-12-29,2023-12-25,967,441.78,427201.26
PO-0031,Rose Ltd,Raw Materials,Vietnam,2024-08-13,2024-10-27,2024-10-24,106,52.98,5615.88
PO-0032,"Mills, Hayes and Jackson",Raw Materials,Brazil,2024-03-17,2024-05-16,2024-05-19,65,338.32,21990.8
PO-0033,"James, Hill and Yoder",Food & Beverage,China,2024-10-23,2024-11-19,2024-11-10,264,99.84,26357.76
PO-0034,"Mills, Hayes and Jackson",Apparel,Mexico,2024-07-03,2024-09-13,2024-09-07,483,128.65,62137.95
PO-0035,Gaines-Olsen,Electronics,China,2023-03-19,2023-05-29,2023-06-13,677,499.64,338256.28
PO-0036,"Evans, Johnson and Blevins",Apparel,India,2023-01-16,2023-02-11,2023-03-02,507,243.27,123337.89
PO-0037,"James, Hill and Yoder",Electronics,India,2024-02-15,2024-03-08,2024-03-03,281,463.63,130280.03
PO-0038,Gaines-Olsen,Raw Materials,Vietnam,2024-04-10,2024-05-31,2024-06-03,204,151.87,30981.48
PO-0039,Gaines-Olsen,Electronics,Brazil,2023-03-01,2023-05-29,2023-06-11,331,33.3,11022.3
PO-0040,Koch Group,Apparel,China,2024-08-21,2024-11-05,2024-11-11,993,256.38,254585.34
PO-0041,Smith-Wood,Apparel,India,2023-07-10,2023-08-02,2023-08-11,132,471.09,62183.88
PO-0042,Wright Ltd,Electronics,Germany,2024-08-06,2024-09-21,2024-09-29,93,212.52,19764.36
PO-0043,Reid-Meadows,Food & Beverage,Vietnam,2024-08-20,2024-11-15,2024-11-21,695,359.51,249859.45
PO-0044,Wright-Fields,Food & Beverage,India,2023-09-02,2023-10-20,2023-10-22,333,464.86,154798.38
PO-0045,Wright Ltd,Packaging,China,2023-03-16,2023-04-01,2023-04-05,85,271.13,23046.05
PO-0046,Bean-Smith,Electronics,Vietnam,2024-06-02,2024-07-20,2024-07-14,388,146.07,56675.16
PO-0047,Elliott and Sons,Packaging,Brazil,2024-03-24,2024-06-16,2024-06-28,551,8.87,4887.37
PO-0048,Palmer-Flores,Apparel,Mexico,2024-07-21,2024-09-12,2024-10-01,128,445.41,57012.48
PO-0049,Elliott and Sons,Packaging,Vietnam,2024-07-20,2024-08-23,2024-08-21,744,174.73,129999.12
PO-0050,Rose Ltd,Food & Beverage,China,2024-12-04,2025-01-21,2025-01-27,104,318.97,33172.88
PO-0051,Reid-Meadows,Apparel,Brazil,2023-10-11,2023-10-31,2023-10-21,278,84.98,23624.44
PO-0052,"Mills, Hayes and Jackson",Packaging,China,2024-03-28,2024-06-21,2024-07-03,124,42.25,5239.0
PO-0053,"Long, Singh and Guzman",Food & Beverage,Germany,2024-12-08,2025-01-11,2025-01-18,575,78.31,45028.25
PO-0054,Bean-Smith,Electronics,Mexico,2023-05-11,2023-05-31,2023-05-30,225,342.62,77089.5
PO-0055,Gaines-Olsen,Raw Materials,Germany,2024-11-13,2024-12-11,2024-12-12,777,81.5,63325.5
PO-0056,Solis Inc,Raw Materials,China,2023-08-31,2023-10-05,2023-10-20,193,369.6,71332.8
PO-0057,"Evans, Johnson and Blevins",Food & Beverage,Vietnam,2023-12-07,2024-02-12,2024-02-27,816,352.13,287338.08
PO-0058,Rose Ltd,Apparel,Vietnam,2024-01-27,2024-02-15,2024-03-03,846,459.63,388846.98
PO-0059,"Evans, Johnson and Blevins",Apparel,China,2023-12-25,2024-02-17,2024-03-04,685,100.6,68911.0
PO-0060,Smith-Wood,Food & Beverage,Mexico,2023-12-03,2024-01-22,2024-02-08,666,257.16,171268.56
PO-0061,Cline-Dixon,Electronics,Mexico,2024-11-26,2025-02-17,2025-02-17,192,292.39,56138.88
PO-0062,Wright Ltd,Raw Materials,Mexico,2023-09-29,2023-10-18,2023-10-11,756,394.28,298075.68
PO-0063,"James, Hill and Yoder",Packaging,Vietnam,2024-03-22,2024-06-10,2024-06-03,270,26.97,7281.9
PO-0064,Gaines-Olsen,Apparel,Mexico,2024-03-22,2024-04-06,2024-04-12,451,39.64,17877.64
PO-0065,Reid-Meadows,Electronics,Brazil,2024-11-11,2025-01-07,2025-01-16,931,153.66,143057.46
PO-0066,"James, Hill and Yoder",Food & Beverage,Germany,2023-11-13,2024-01-19,2024-01-19,140,99.96,13994.4
PO-0067,Solis Inc,Packaging,Germany,2024-11-11,2025-01-13,2025-01-24,318,206.01,65511.18
PO-0068,Maynard-Mitchell,Raw Materials,Germany,2023-01-01,2023-02-23,2023-02-22,631,329.08,207649.48
PO-0069,Maynard-Mitchell,Packaging,India,2024-04-21,2024-07-01,2024-07-05,822,451.08,370787.76
PO-0070,Koch Group,Packaging,Mexico,2023-06-23,2023-07-18,2023-07-17,105,410.12,43062.6
PO-0071,Maynard-Mitchell,Apparel,China,2023-08-29,2023-10-22,2023-10-19,57,126.2,7193.4
PO-0072,"Mills, Hayes and Jackson",Packaging,Vietnam,2024-05-01,2024-05-25,2024-05-29,745,349.7,260526.5
PO-0073,Wright-Fields,Electronics,China,2024-05-21,2024-07-26,2024-07-23,807,215.45,173868.15
PO-0074,"Long, Singh and Guzman",Packaging,Vietnam,2023-06-30,2023-09-19,2023-09-23,949,424.93,403258.57
PO-0075,Hawkins Inc,Packaging,Germany,2024-04-12,2024-05-14,2024-05-29,619,162.06,100315.14
PO-0076,Gaines-Olsen,Raw Materials,Vietnam,2024-03-29,2024-06-16,2024-06-19,771,431.44,332640.24
PO-0077,"Evans, Johnson and Blevins",Food & Beverage,Germany,2024-04-05,2024-05-23,2024-06-06,506,315.24,159511.44
PO-0078,Elliott and Sons,Apparel,Mexico,2023-10-09,2023-12-19,2023-12-11,353,163.26,57630.78
PO-0079,Wright-Fields,Apparel,India,2024-07-07,2024-08-01,2024-07-26,720,80.64,58060.8
PO-0080,"Mills, Hayes and Jackson",Food & Beverage,Germany,2023-08-08,2023-08-31,2023-09-03,487,210.81,102664.47
PO-0081,Henry-Lee,Electronics,Germany,2023-07-31,2023-10-07,2023-10-09,399,241.1,96198.9
PO-0082,"James, Hill and Yoder",Raw Materials,Germany,2023-12-27,2024-02-18,2024-03-03,775,368.64,285696.0
PO-0083,"Evans, Johnson and Blevins",Food & Beverage,India,2024-09-09,2024-10-22,2024-10-27,507,19.37,9820.59
PO-0084,Solis Inc,Raw Materials,Vietnam,2023-12-11,2024-02-15,2024-02-28,647,269.39,174295.33
PO-0085,Cline-Dixon,Electronics,Brazil,2024-02-08,2024-05-08,2024-05-16,448,72.17,32332.16
PO-0086,Smith-Carey,Raw Materials,Mexico,2024-04-17,2024-05-25,2024-05-16,226,230.08,51998.08
PO-0087,"Mills, Hayes and Jackson",Food & Beverage,China,2023-12-12,2024-02-13,2024-02-11,491,14.59,7163.69
PO-0088,Bean-Smith,Apparel,Brazil,2024-07-06,2024-07-27,2024-08-16,80,391.71,31336.8
PO-0089,Cline-Dixon,Apparel,Vietnam,2024-10-29,2024-11-18,2024-12-02,869,15.09,13113.21
PO-0090,Rose Ltd,Electronics,Germany,2023-06-06,2023-07-21,2023-07-15,980,112.89,110632.2
PO-0091,Bean-Smith,Apparel,Germany,2024-12-17,2025-02-02,2025-02-16,631,482.05,304173.55
PO-0092,Elliott and Sons,Electronics,Germany,2023-04-28,2023-06-02,2023-06-22,36,464.8,16732.8
PO-0093,Maynard-Mitchell,Electronics,Germany,2024-08-12,2024-10-14,2024-10-16,717,416.13,298365.21
PO-0094,Elliott and Sons,Packaging,China,2023-09-06,2023-10-04,2023-10-16,825,492.0,405900.0
PO-0095,"Mills, Hayes and Jackson",Food & Beverage,China,2023-02-12,2023-04-12,2023-04-19,528,325.53,171879.84
PO-0096,Rose Ltd,Electronics,India,2023-01-13,2023-03-22,2023-04-07,993,184.28,182990.04
PO-0097,Solis Inc,Packaging,Brazil,2024-04-15,2024-05-19,2024-05-22,286,309.88,88625.68
PO-0098,"Mills, Hayes and Jackson",Packaging,Mexico,2024-07-05,2024-09-19,2024-09-23,340,426.6,145044.0
PO-0099,Hawkins Inc,Apparel,India,2023-03-30,2023-05-19,2023-06-06,593,307.11,182116.23
PO-0100,Rose Ltd,Food & Beverage,Vietnam,2024-01-24,2024-03-22,2024-03-12,509,110.0,55990.0
PO-0101,Wright Ltd,Food & Beverage,Germany,2023-09-22,2023-11-19,2023-11-17,20,260.73,5214.6
PO-0102,"Mills, Hayes and Jackson",Raw Materials,Germany,2023-07-15,2023-08-09,2023-08-06,786,123.96,97432.56
PO-0103,Cline-Dixon,Electronics,Mexico,2024-05-02,2024-07-18,2024-07-22,236,205.18,48422.48
PO-0104,Henry-Lee,Food & Beverage,India,2023-09-07,2023-10-31,2023-11-11,576,267.81,154258.56
PO-0105,Bean-Smith,Raw Materials,Mexico,2024-03-11,2024-06-04,2024-06-04,323,129.44,41809.12
PO-0106,Palmer-Flores,Packaging,Brazil,2023-05-04,2023-06-12,2023-06-12,199,99.81,19862.19
PO-0107,Henry-Lee,Packaging,Germany,2024-05-10,2024-06-29,2024-07-12,299,490.35,146614.65
PO-0108,Bean-Smith,Apparel,Mexico,2023-07-18,2023-09-08,2023-09-05,24,355.47,8531.28
PO-0109,"Long, Singh and Guzman",Packaging,Mexico,2023-05-10,2023-06-29,2023-06-20,724,472.32,341959.68
PO-0110,Cline-Dixon,Packaging,Mexico,2024-10-15,2024-12-31,2024-12-24,490,241.96,118560.4
PO-0111,"Long, Singh and Guzman",Food & Beverage,India,2023-12-15,2024-01-22,2024-02-11,126,411.95,51905.7
PO-0112,Henry-Lee,Electronics,Vietnam,2024-02-15,2024-05-02,2024-04-24,162,406.52,65856.24
PO-0113,Palmer-Flores,Packaging,India,2023-11-08,2023-12-03,2023-11-30,630,300.08,189050.4
PO-0114,Koch Group,Raw Materials,India,2024-09-25,2024-11-07,2024-11-21,940,224.15,210701.0
PO-0115,Henry-Lee,Packaging,China,2024-08-25,2024-11-02,2024-11-01,634,480.25,304478.5
PO-0116,Maynard-Mitchell,Food & Beverage,Brazil,2023-04-12,2023-05-23,2023-06-02,93,82.74,7694.82
PO-0117,Solis Inc,Electronics,India,2023-06-27,2023-09-20,2023-09-12,471,346.24,163079.04
PO-0118,"Evans, Johnson and Blevins",Food & Beverage,Brazil,2024-04-26,2024-06-17,2024-06-08,299,352.98,105541.02
PO-0119,"Evans, Johnson and Blevins",Food & Beverage,Brazil,2024-04-09,2024-05-03,2024-05-14,613,332.29,203693.77
PO-0120,Gaines-Olsen,Apparel,Brazil,2023-07-22,2023-09-29,2023-09-22,162,454.66,73654.92
PO-0121,Solis Inc,Food & Beverage,Germany,2023-05-26,2023-06-19,2023-06-10,776,413.0,320488.0
PO-0122,Hawkins Inc,Food & Beverage,Brazil,2023-10-23,2024-01-02,2023-12-26,422,471.62,199023.64
PO-0123,Hawkins Inc,Electronics,Germany,2024-05-27,2024-08-19,2024-08-24,50,445.26,22263.0
PO-0124,Smith-Wood,Apparel,Brazil,2023-11-27,2024-01-13,2024-01-03,866,430.96,373211.36
PO-0125,Smith-Carey,Packaging,China,2024-08-24,2024-09-10,2024-09-24,791,379.35,300065.85
PO-0126,Hawkins Inc,Food & Beverage,Vietnam,2024-04-26,2024-07-16,2024-07-26,609,220.76,134442.84
PO-0127,Bean-Smith,Raw Materials,Mexico,2024-05-18,2024-06-13,2024-06-18,338,336.72,113811.36
PO-0128,Rose Ltd,Food & Beverage,Brazil,2023-06-14,2023-08-10,2023-08-13,977,203.22,198545.94
PO-0129,Smith-Wood,Food & Beverage,Mexico,2024-07-17,2024-08-05,2024-08-09,341,62.38,21271.58
PO-0130,Cline-Dixon,Packaging,India,2024-02-18,2024-05-08,2024-05-24,433,31.83,13782.39
PO-0131,Rose Ltd,Raw Materials,China,2024-06-14,2024-08-14,2024-08-23,218,137.19,29907.42
PO-0132,Rose Ltd,Electronics,China,2023-05-15,2023-07-05,2023-07-09,655,306.39,200685.45
PO-0133,Gaines-Olsen,Electronics,Germany,2023-09-03,2023-10-08,2023-10-07,427,51.14,21836.78
PO-0134,Palmer-Flores,Apparel,India,2023-04-27,2023-07-10,2023-07-30,965,359.72,347129.8
PO-0135,Rose Ltd,Raw Materials,Vietnam,2024-06-05,2024-07-24,2024-07-27,477,277.88,132548.76
PO-0136,Wright Ltd,Packaging,Brazil,2024-01-28,2024-03-07,2024-03-26,910,72.57,66038.7
PO-0137,"Mills, Hayes and Jackson",Food & Beverage,Germany,2023-03-13,2023-05-02,2023-05-16,283,411.17,116361.11
PO-0138,Henry-Lee,Packaging,Brazil,2023-10-17,2023-12-09,2023-12-25,511,433.3,221416.3
PO-0139,Bean-Smith,Food & Beverage,Germany,2024-04-02,2024-06-24,2024-06-29,791,274.0,216734.0
PO-0140,Maynard-Mitchell,Apparel,Germany,2024-04-11,2024-06-06,2024-06-23,402,120.61,48485.22
PO-0141,Rose Ltd,Raw Materials,India,2024-02-25,2024-03-16,2024-03-16,689,397.23,273691.47
PO-0142,"Long, Singh and Guzman",Apparel,Germany,2024-10-29,2024-12-02,2024-12-07,998,297.14,296545.72
PO-0143,Koch Group,Raw Materials,China,2023-04-13,2023-06-23,2023-06-16,749,76.36,57193.64
PO-0144,Rose Ltd,Food & Beverage,Mexico,2024-11-01,2024-12-05,2024-11-27,648,347.89,225432.72
PO-0145,Reid-Meadows,Packaging,India,2024-10-27,2024-11-21,2024-12-08,987,161.75,159647.25
PO-0146,Wright Ltd,Electronics,Vietnam,2024-05-14,2024-08-06,2024-07-28,656,343.78,225519.68
PO-0147,Smith-Wood,Raw Materials,China,2023-10-22,2023-12-05,2023-12-18,788,318.71,251143.48
PO-0148,Elliott and Sons,Electronics,China,2023-04-13,2023-06-23,2023-06-18,342,399.09,136488.78
PO-0149,"Mills, Hayes and Jackson",Apparel,Vietnam,2023-10-28,2023-12-27,2023-12-28,553,208.97,115560.41
PO-0150,Solis Inc,Electronics,Germany,2024-11-29,2025-01-06,2025-01-01,901,194.36,175118.36
PO-0151,Henry-Lee,Apparel,Vietnam,2024-11-30,2025-01-14,2025-01-19,482,320.76,154606.32
PO-0152,Cline-Dixon,Raw Materials,Mexico,2024-04-15,2024-06-01,2024-06-12,703,275.57,193725.71
PO-0153,Bean-Smith,Packaging,Mexico,2023-03-17,2023-05-27,2023-06-16,664,481.2,319516.8
PO-0154,Elliott and Sons,Apparel,India,2024-12-07,2025-01-23,2025-01-27,883,244.19,215619.77
PO-0155,Bean-Smith,Packaging,Mexico,2023-08-31,2023-11-02,2023-11-10,726,151.14,109727.64
PO-0156,Cline-Dixon,Packaging,Brazil,2024-11-05,2025-01-09,2025-01-07,806,373.61,301129.66
PO-0157,Elliott and Sons,Apparel,Germany,2023-02-20,2023-05-09,2023-05-25,831,179.4,149081.4
PO-0158,Smith-Carey,Apparel,Brazil,2024-10-13,2024-11-21,2024-11-30,109,452.18,49287.62
PO-0159,Hawkins Inc,Electronics,Germany,2024-10-23,2024-11-12,2024-11-11,383,367.52,140760.16
PO-0160,"Mills, Hayes and Jackson",Apparel,Vietnam,2023-04-03,2023-05-25,2023-05-25,145,394.32,57176.4
PO-0161,Smith-Carey,Apparel,Mexico,2024-01-10,2024-04-01,2024-04-07,945,413.22,390492.9
PO-0162,Reid-Meadows,Electronics,India,2024-05-08,2024-06-29,2024-07-12,996,42.27,42100.92
PO-0163,Gaines-Olsen,Food & Beverage,China,2023-08-20,2023-10-24,2023-11-13,819,200.31,164053.89
PO-0164,Hawkins Inc,Food & Beverage,Brazil,2023-09-28,2023-12-20,2023-12-13,776,337.81,262140.56
PO-0165,Bean-Smith,Electronics,Brazil,2024-08-21,2024-10-23,2024-11-08,249,238.38,59356.62
PO-0166,Wright Ltd,Apparel,Brazil,2024-09-26,2024-12-21,2024-12-21,74,319.52,23644.48
PO-0167,"Mills, Hayes and Jackson",Electronics,Vietnam,2024-04-20,2024-06-12,2024-06-22,56,473.4,26510.4
PO-0168,Palmer-Flores,Apparel,Germany,2023-11-08,2024-01-25,2024-01-18,148,197.38,29212.24
PO-0169,Henry-Lee,Apparel,India,2024-01-15,2024-04-08,2024-04-11,680,54.02,36733.6
PO-0170,Smith-Carey,Electronics,Brazil,2024-05-16,2024-07-22,2024-08-11,389,112.55,43781.95
PO-0171,Bean-Smith,Electronics,Brazil,2024-03-31,2024-05-15,2024-06-01,386,274.51,105960.86
PO-0172,"James, Hill and Yoder",Food & Beverage,Vietnam,2024-10-22,2024-12-21,2024-12-12,135,474.76,64092.6
PO-0173,Maynard-Mitchell,Packaging,China,2024-04-10,2024-05-06,2024-05-17,61,394.46,24062.06
PO-0174,Henry-Lee,Apparel,China,2023-09-07,2023-10-08,2023-10-23,859,383.75,329641.25
PO-0175,"Evans, Johnson and Blevins",Food & Beverage,Vietnam,2023-08-01,2023-10-30,2023-10-26,817,450.76,368270.92
PO-0176,Wright-Fields,Apparel,Germany,2023-01-03,2023-02-22,2023-03-11,266,400.26,106469.16
PO-0177,Cline-Dixon,Food & Beverage,Vietnam,2023-04-23,2023-05-11,2023-05-05,612,165.27,101145.24
PO-0178,Wright-Fields,Raw Materials,Germany,2023-06-28,2023-08-15,2023-08-06,126,374.1,47136.6
PO-0179,Bean-Smith,Packaging,Germany,2024-05-02,2024-07-13,2024-07-27,121,228.74,27677.54
PO-0180,Koch Group,Food & Beverage,India,2023-08-15,2023-09-04,2023-09-17,668,482.19,322102.92
PO-0181,"James, Hill and Yoder",Raw Materials,Brazil,2023-03-04,2023-05-19,2023-06-05,120,247.68,29721.6
PO-0182,Smith-Wood,Food & Beverage,Germany,2024-03-30,2024-04-23,2024-05-11,161,37.51,6039.11
PO-0183,Reid-Meadows,Raw Materials,Germany,2023-10-09,2024-01-06,2024-01-13,553,150.97,83486.41
PO-0184,Palmer-Flores,Packaging,Brazil,2024-06-01,2024-08-10,2024-08-03,896,111.44,99850.24
PO-0185,Reid-Meadows,Raw Materials,India,2024-04-07,2024-05-21,2024-05-24,435,366.16,159279.6
PO-0186,Smith-Carey,Food & Beverage,Vietnam,2023-11-17,2024-01-25,2024-01-25,713,461.88,329320.44
PO-0187,Smith-Wood,Electronics,India,2023-03-10,2023-04-05,2023-04-21,108,373.57,40345.56
PO-0188,"Long, Singh and Guzman",Packaging,Germany,2024-01-17,2024-02-17,2024-02-24,585,168.17,98379.45
PO-0189,"Mills, Hayes and Jackson",Electronics,Mexico,2023-05-06,2023-07-12,2023-07-13,624,159.66,99627.84
PO-0190,Maynard-Mitchell,Apparel,Brazil,2023-04-17,2023-07-14,2023-07-20,503,116.0,58348.0
PO-0191,Gaines-Olsen,Food & Beverage,China,2023-04-21,2023-06-19,2023-07-06,790,142.89,112883.1
PO-0192,Gaines-Olsen,Packaging,Germany,2023-08-20,2023-10-28,2023-11-14,701,323.14,226521.14
PO-0193,Solis Inc,Food & Beverage,Brazil,2023-01-27,2023-03-17,2023-03-07,790,157.95,124780.5
PO-0194,Solis Inc,Apparel,Germany,2023-12-14,2024-02-11,2024-02-01,683,203.39,138915.37
